TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-12 16:16:49.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-0782
2024-10-12 16:16:49.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-10-12 16:16:49.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:49.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-10-12 16:16:49.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:49.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:49.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-10-12 16:16:49.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:50.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:50.039,0,0.3179304431349463,0.3774620412577462,0,0,0.2234353995932595,0.1417809872868343,0,0,0.4166847762490922,0.5633968957130002,0,0,0.1254033402994711,0.2292694993835697,0,0,-0.05387811400933277,-0.1862419270137106,0,0,791.3553113553114,797.3992673992674,0,450.4761904761905,-0.303223,0.211243,0.923950,0.687866,-0.560760,-3.611298,1,4,1,1,4,55.000000
2024-10-12 16:16:50.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:50.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-10-12 16:16:51.034,0,0.8934046496512758,1.245624474011185,0,0,0.7886337487006303,1.163730123221713,0,0,0.912640969321694,1.132937782530147,0,0,0.2769597797811689,0.2697807144444814,0,0,-0.09411600013188802,-0.2351448709264762,0,0,807.8754578754579,805.8608058608058,0,687.8021978021978,-0.460815,0.178955,0.869629,-3.446808,-1.562653,6.041260,1,4,1,1,4,55.000000
2024-10-12 16:16:51.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:51.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:51.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:52.034,0,0.6922939922611016,0.7538559368123616,0,0,0.5708839472341645,0.4607333669068716,0,0,0.7066547204569056,0.5219441442799654,0,0,0.3200885974555694,0.3422847069106762,0,0,0.1467562719673034,-0.1106838844410555,0,1626.227106227106,805.0549450549451,793.3699633699634,1624.212454212454,668.4615384615385,-0.455078,0.154175,0.875671,-0.433655,-2.586975,-0.942078,1,4,1,1,4,55.000000
2024-10-12 16:16:52.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-10-12 16:16:53.034,0,0.9750069575485503,0.6704484511832934,0,0,0.9183015617046466,0.3970921321678146,0,0,1.03956009687618,0.01056835729328977,0,0,0.2754702396085693,0.3682151702087942,0,0,0.03429570864809762,-0.2952888243308441,0,1623.809523809524,776.0439560439561,756.7032967032967,1124.578754578755,697.8754578754579,-0.453491,0.189453,0.874023,-0.500946,-1.286011,4.583282,1,2,1,1,2,55.000000
2024-10-12 16:16:53.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-10-12 16:16:53.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:53.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-10-12 16:16:53.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:54.041,0,1.191322618916133,0.6704484511832934,0,0,1.124579426119282,0.3970921321678146,0,0,1.03956009687618,0.01056835729328977,0,0,0.3384693090649324,0.3682151702087942,0,0,0.03567085209897901,-0.2952888243308441,0,478.2783882783883,767.5824175824176,774.4322344322345,1624.212454212454,728.4981684981685,-0.470581,0.204651,1.011414,12.912445,-14.347992,1.300964,1,4,1,1,4,55.000000
2024-10-12 16:16:54.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:54.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:55.034,0,1.191322618916133,0.6704484511832934,0,0,1.124579426119282,0.3970921321678146,0,0,1.03956009687618,0.01056835729328977,0,0,0.3384693090649324,0.3682151702087942,0,0,0.03567085209897901,-0.2952888243308441,0,1624.212454212454,843.7362637362637,850.1831501831502,1624.212454212454,1079.047619047619,-0.409729,0.064514,0.976318,-3.828125,6.572113,2.078552,1,4,1,1,4,55.000000
2024-10-12 16:16:55.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:56.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:56.044,0,1.191322618916133,1.339590742746144,0,0,1.124579426119282,0.8945496006140601,0,0,1.03956009687618,0.6982616044316621,0,0,0.3384693090649324,0.5724700570333717,0,0,0.03567085209897901,-0.09878789419542341,0,0,814.3223443223443,813.5164835164835,0,647.5091575091575,-0.464417,0.195190,0.878357,-6.714172,-4.441223,3.544006,1,4,1,1,4,55.000000
2024-10-12 16:16:56.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-12 16:16:56.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
