unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z
1728765909110,4.138581,1.553969,-0.006325126,-0.9973353,0.0621166,0.03826207,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909114,4.138581,1.553969,-0.006325126,-0.9973353,0.0621166,0.03826207,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909144,4.137938,1.554422,-0.006138682,-0.99727,0.0630039,0.03851724,-0.04827976,0.03394783,0.01398325,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909149,4.137938,1.554422,-0.006138682,-0.99727,0.0630039,0.03851724,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909153,4.137938,1.554422,-0.006138682,-0.99727,0.0630039,0.03851724,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909185,4.136518,1.555055,-0.006532073,-0.9970147,0.06657551,0.03911465,-0.1064301,0.04751086,-0.0295043,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909189,4.136518,1.555055,-0.006532073,-0.9970147,0.06657551,0.03911465,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909193,4.136518,1.555055,-0.006532073,-0.9970147,0.06657551,0.03911465,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909226,4.134851,1.555657,-0.007329345,-0.9968445,0.06801046,0.04094386,-0.1250625,0.04511476,-0.05979538,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909231,4.134851,1.555657,-0.007329345,-0.9968445,0.06801046,0.04094386,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909234,4.134851,1.555657,-0.007329345,-0.9968445,0.06801046,0.04094386,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909269,4.13273,1.556475,-0.008456349,-0.996503,0.07038429,0.0450356,-0.1590729,0.06139576,-0.08452535,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909273,4.13273,1.556475,-0.008456349,-0.996503,0.07038429,0.0450356,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909277,4.13273,1.556475,-0.008456349,-0.996503,0.07038429,0.0450356,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909310,4.129858,1.557249,-0.01034427,-0.9959816,0.07274122,0.05224609,-0.2153635,0.05800724,-0.1415938,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909315,4.129858,1.557249,-0.01034427,-0.9959816,0.07274122,0.05224609,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909319,4.129858,1.557249,-0.01034427,-0.9959816,0.07274122,0.05224609,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909351,4.126239,1.557327,-0.01280808,-0.9955742,0.07287729,0.05933982,-0.2714396,0.005865097,-0.1847863,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909356,4.126239,1.557327,-0.01280808,-0.9955742,0.07287729,0.05933982,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909359,4.126239,1.557327,-0.01280808,-0.9955742,0.07287729,0.05933982,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909362,4.126239,1.557327,-0.01280808,-0.9955742,0.07287729,0.05933982,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909392,4.121872,1.556731,-0.01608658,-0.9956769,0.06526236,0.06609589,-0.3275156,-0.04466772,-0.245887,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909397,4.121872,1.556731,-0.01608658,-0.9956769,0.06526236,0.06609589,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
1728765909401,4.121872,1.556731,-0.01608658,-0.9956769,0.06526236,0.06609589,0,0,0,2.5,0,0,0,8.74228E-08,1,0,0,0,2.5,0,0,0,0,1,0,0,0
