unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1734544406695,2.212729,1.664082,0.5459843,-0.9826491,0.1793246,0.04737103,-0.004863739,-0.01228452,0.01067966,1.803909,0.813468,-0.2400527,-0.3263939,-0.774465,-0.5419147,-0.001439452,-0.0004649162,-0.001262873,2.232521,0.8104131,0.8019172,-0.1645158,-0.8520667,0.4969075,-0.01918674,-0.003361702,0.02821684,0
1734544406699,2.212729,1.664082,0.5459843,-0.9826491,0.1793246,0.04737103,0,0,0,1.803909,0.813468,-0.2400527,-0.3263939,-0.774465,-0.5419147,0,0,0,2.232521,0.8104131,0.8019172,-0.1645158,-0.8520667,0.4969075,0,0,0,0
1734544406722,2.210104,1.663055,0.5486672,-0.9826483,0.1797467,0.0457533,-0.1968205,-0.07703304,0.2012148,1.803974,0.8134781,-0.2399762,-0.327502,-0.7730914,-0.543206,0.004854798,0.0007510185,0.005737692,2.230604,0.8094048,0.8044178,-0.1673353,-0.8524327,0.4953358,-0.1437306,-0.07562488,0.187549,0
1734544406726,2.210104,1.663055,0.5486672,-0.9826483,0.1797467,0.0457533,0,0,0,1.803974,0.8134781,-0.2399762,-0.327502,-0.7730914,-0.543206,0,0,0,2.230604,0.8094048,0.8044178,-0.1673353,-0.8524327,0.4953358,0,0,0,0
1734544406750,2.207232,1.66169,0.5515816,-0.9826059,0.1800862,0.04532808,-0.2154171,-0.1024067,0.2185822,1.803995,0.8134799,-0.2399525,-0.3278857,-0.7716051,-0.5450845,0.001582503,0.0001385808,0.001774728,2.229372,0.8091512,0.8085752,-0.1687836,-0.8513597,0.4966879,-0.09242892,-0.01901686,0.3117979,0
1734544406754,2.207232,1.66169,0.5515816,-0.9826059,0.1800862,0.04532808,0,0,0,1.803995,0.8134799,-0.2399525,-0.3278857,-0.7716051,-0.5450845,0,0,0,2.229372,0.8091512,0.8085752,-0.1687836,-0.8513597,0.4966879,0,0,0,0
1734544406778,2.204212,1.660408,0.5549622,-0.9830306,0.177749,0.04534823,-0.2265036,-0.09616613,0.2535403,1.803948,0.8134649,-0.2399982,-0.3266957,-0.7712762,-0.546263,-0.003477931,-0.001122057,-0.003424287,2.227745,0.8088674,0.8140165,-0.1679139,-0.8506466,0.4982022,-0.1220405,-0.0212878,0.4080981,0
1734544406782,2.204212,1.660408,0.5549622,-0.9830306,0.177749,0.04534823,0,0,0,1.803948,0.8134649,-0.2399982,-0.3266957,-0.7712762,-0.546263,0,0,0,2.227745,0.8088674,0.8140165,-0.1679139,-0.8506466,0.4982022,0,0,0,0
1734544406806,2.200928,1.658893,0.558634,-0.9836149,0.1747817,0.04419672,-0.2462804,-0.1135826,0.2753913,1.803833,0.8134371,-0.2400993,-0.3235642,-0.7717323,-0.5474815,-0.008618832,-0.002087653,-0.007581711,2.225715,0.8084953,0.8199077,-0.1681778,-0.8499048,0.499378,-0.1522601,-0.02790838,0.4418448,0
1734544406810,2.200928,1.658893,0.558634,-0.9836149,0.1747817,0.04419672,0,0,0,1.803833,0.8134371,-0.2400993,-0.3235642,-0.7717323,-0.5474815,0,0,0,2.225715,0.8084953,0.8199077,-0.1681778,-0.8499048,0.499378,0,0,0,0
