,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,unix_ms,rel_unix_ms,trial_ms
38,2024-11-24 12:43:33.839,0.779396943487292,0.005199961506722,1.041590852583014,1.870220543009762,0.3565913280295037,0.1384563646747468,0.6749947131925774,1.731964636338561,0.3199218696066731,0.3386382193166316,0.7705710488441608,1.42596387463475,0.5467511366308926,-0.0503015893003262,0.2036373649943634,1.00617648313623,0.6009303798030462,-0.2428298319778518,-0.4001822567939353,0.5057723262610202,870.7326007326008,804.2490842490843,805.4578754578755,847.3626373626374,1626.630036630037,-0.270203,0.028381,1.029541,-1.398163,-6.878662,2.115936,1.0,2.0,1.0,1.0,4.0,65.0,,1732470213839,9499,4995
40,2024-11-24 12:43:34.340,0.779396943487292,-0.0697132961891212,0.812566252775283,1.870220543009762,0.3565913280295037,0.005403231699651,0.4858422893956841,1.731964636338561,0.3199218696066731,0.3378820948943559,0.7705710488441608,1.42596387463475,0.5467511366308926,-0.0497222915804712,0.1628822135532452,1.00617648313623,0.6009303798030462,-0.2460026359757686,-0.3007355237545176,0.5057723262610202,943.2600732600732,804.6520146520147,785.3113553113553,1243.443223443224,830.0366300366301,-0.208374,0.165955,1.06488,-2.542114,5.996399,-4.26178,1.0,2.0,1.0,1.0,4.0,65.0,,1732470214340,10000,5496
43,2024-11-24 12:43:34.839,0.779396943487292,-0.0830090550312689,0.763600211250604,1.870220543009762,0.3565913280295037,0.0113064668156803,0.2795672777567417,1.731964636338561,0.3199218696066731,0.4053350885671694,0.6682577092457783,1.42596387463475,0.5467511366308926,-0.0356439635391425,-0.0199748184776277,1.00617648313623,0.6009303798030462,-0.2800311147599286,-0.2296629213240672,0.5057723262610202,794.1758241758242,809.4871794871796,802.6373626373627,666.0439560439561,1149.56043956044,-0.230957,0.1745,0.982666,-0.882263,6.57959,-0.104675,1.0,2.0,1.0,1.0,4.0,65.0,,1732470214839,10499,5995
45,2024-11-24 12:43:35.340,0.779396943487292,0.3026333890204965,0.8077536488649458,1.870220543009762,0.3565913280295037,0.2968052922621196,0.2083517469751252,1.731964636338561,0.3199218696066731,0.2866249098273667,0.3708491814144871,1.42596387463475,0.5467511366308926,-0.0166066805991248,-0.0527233315387879,1.00617648313623,0.6009303798030462,-0.2771142304905936,-0.1926415879983051,0.5057723262610202,692.2344322344322,807.8754578754579,797.8021978021978,430.3296703296704,45.53113553113553,-0.255676,0.062988,0.867065,4.463654,-2.362671,1.532745,1.0,2.0,1.0,1.0,4.0,65.0,,1732470215340,11000,6496
48,2024-11-24 12:43:35.839,0.779396943487292,0.4409862129889027,0.8492530204125641,1.870220543009762,0.3565913280295037,0.4511418257170761,0.3220047259248259,1.731964636338561,0.3199218696066731,0.2687075283775088,0.615911769853625,1.42596387463475,0.5467511366308926,-0.0095691475269561,0.0392405403114001,1.00617648313623,0.6009303798030462,-0.25737251786284,-0.2065043845628582,0.5057723262610202,725.2747252747253,806.6666666666667,809.0842490842491,915.8608058608058,1222.893772893773,-0.16217,0.164673,0.88324,-0.381317,-9.959106,4.568329,1.0,2.0,1.0,1.0,4.0,65.0,,1732470215839,11499,6995
50,2024-11-24 12:43:36.339,0.779396943487292,0.6842125717912089,0.7127164684056169,1.870220543009762,0.3565913280295037,0.6233825563105242,0.3235222771687962,1.731964636338561,0.3199218696066731,0.2979629408478151,0.6767360259841837,1.42596387463475,0.5467511366308926,0.1279398105585166,0.147778975510465,1.00617648313623,0.6009303798030462,-0.2975082877636909,-0.2663811840220785,0.5057723262610202,967.032967032967,802.6373626373627,807.0695970695971,938.4249084249084,840.9157509157509,-0.201233,0.09021,1.133179,-7.768402,9.60022,4.42627,1.0,2.0,1.0,1.0,2.0,65.0,,1732470216339,11999,7495
53,2024-11-24 12:43:36.846,0.779396943487292,0.8067100870457861,0.8084250722360075,1.870220543009762,0.3565913280295037,0.7172027718011396,0.5212418685113737,1.731964636338561,0.3199218696066731,0.239892606419837,0.7912106981822546,1.42596387463475,0.5467511366308926,0.2214300529579125,0.2014026017370088,1.00617648313623,0.6009303798030462,-0.2851147996234338,-0.1797555750479522,0.5057723262610202,772.014652014652,821.5750915750916,778.0586080586081,695.4578754578755,739.7802197802198,-0.252625,0.138977,1.031006,4.052429,-1.136475,-3.050537,1.0,2.0,1.0,1.0,4.0,65.0,,1732470216846,12506,8002
55,2024-11-24 12:43:37.340,0.779396943487292,0.8067100870457861,0.9572094239597272,1.870220543009762,0.3565913280295037,0.7172027718011396,0.6143140211122349,1.731964636338561,0.3199218696066731,0.239892606419837,0.8475221349453542,1.42596387463475,0.5467511366308926,0.2214300529579125,0.1935315319919571,1.00617648313623,0.6009303798030462,-0.2851147996234338,-0.1761147747365275,0.5057723262610202,627.7655677655678,782.893772893773,854.2124542124542,666.8498168498169,3.223443223443224,-0.22406,0.168152,0.826721,-0.53833,-5.794525,5.36087,1.0,2.0,1.0,1.0,4.0,65.0,,1732470217340,13000,8496
57,2024-11-24 12:43:37.840,0.779396943487292,1.027425824629183,1.169445657376382,1.870220543009762,0.3565913280295037,0.4404315509390446,0.7869182988501304,1.731964636338561,0.3199218696066731,0.5555220344463655,0.8430258722304853,1.42596387463475,0.5467511366308926,0.0483436335560387,0.1896007838074882,1.00617648313623,0.6009303798030462,-0.0181381944542769,-0.0870681857408858,0.5057723262610202,720.0366300366301,812.3076923076924,802.2344322344322,1102.820512820513,694.6520146520147,-0.304688,0.092224,0.877075,2.048645,-3.484192,2.003784,1.0,2.0,1.0,1.0,4.0,65.0,,1732470217840,13500,8996
59,2024-11-24 12:43:38.341,0.779396943487292,1.041930619529902,1.291401928558875,1.870220543009762,0.3565913280295037,0.5223138263657073,0.8490243424606575,1.731964636338561,0.3199218696066731,0.6965325115559812,0.8181811017113235,1.42596387463475,0.5467511366308926,0.0943606160510305,0.1665449209631785,1.00617648313623,0.6009303798030462,-0.1504373093225181,-0.1194214507661082,0.5057723262610202,819.1575091575091,793.3699633699634,810.2930402930403,964.2124542124542,1626.630036630037,-0.204285,0.179749,0.950867,3.424377,-4.246826,-8.852539,1.0,2.0,1.0,1.0,4.0,65.0,,1732470218341,14001,9497
