unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1729717210185,1.556452,1.607221,-0.2350284,-0.9971476,0.04484365,-0.06071568,-0.01223087,-0.002065301,-7.599592E-05,1.357165,1.176076,-0.258086,-0.9664713,-0.2532778,0.04223973,-0.02280772,-0.01827478,-0.01367033,1.345464,1.140582,-0.1562435,-0.8596604,-0.5105169,0.01888788,-0.01526177,-0.01097918,-0.01621395,0
1729717210190,1.556452,1.607221,-0.2350284,-0.9971476,0.04484365,-0.06071568,0,0,0,1.357165,1.176076,-0.258086,-0.9664713,-0.2532778,0.04223973,0,0,0,1.345464,1.140582,-0.1562435,-0.8596604,-0.5105169,0.01888788,0,0,0,0
1729717210213,1.555032,1.607218,-0.2357116,-0.9971474,0.04352135,-0.06166768,-0.1065016,-0.0001966953,-0.0512436,1.356045,1.175279,-0.2589074,-0.9659978,-0.255358,0.04050899,-0.08396208,-0.05976856,-0.06161034,1.344615,1.13988,-0.1569042,-0.8587443,-0.5120928,0.01787937,-0.06367564,-0.05266964,-0.04955381,0
1729717210218,1.555032,1.607218,-0.2357116,-0.9971474,0.04352135,-0.06166768,0,0,0,1.356045,1.175279,-0.2589074,-0.9659978,-0.255358,0.04050899,0,0,0,1.344615,1.13988,-0.1569042,-0.8587443,-0.5120928,0.01787937,0,0,0,0
1729717210222,1.555032,1.607218,-0.2357116,-0.9971474,0.04352135,-0.06166768,0,0,0,1.356045,1.175279,-0.2589074,-0.9659978,-0.255358,0.04050899,0,0,0,1.344615,1.13988,-0.1569042,-0.8587443,-0.5120928,0.01787937,0,0,0,0
1729717210241,1.553542,1.606966,-0.2364125,-0.9970503,0.04311686,-0.06350017,-0.1117945,-0.01890063,-0.05256236,1.35446,1.174511,-0.259811,-0.9655102,-0.2576005,0.0378502,-0.1188576,-0.05757809,-0.06776601,1.343207,1.13904,-0.1576236,-0.8572954,-0.5145084,0.01805472,-0.1056701,-0.06302297,-0.0539571,0
1729717210245,1.553542,1.606966,-0.2364125,-0.9970503,0.04311686,-0.06350017,0,0,0,1.35446,1.174511,-0.259811,-0.9655102,-0.2576005,0.0378502,0,0,0,1.343207,1.13904,-0.1576236,-0.8572954,-0.5145084,0.01805472,0,0,0,0
1729717210269,1.551916,1.606751,-0.2372038,-0.9970058,0.04200773,-0.06492436,-0.1219511,-0.01612902,-0.05934834,1.352967,1.174326,-0.2609161,-0.9640833,-0.2630475,0.03673708,-0.112009,-0.01385808,-0.08288473,1.34213,1.138674,-0.1583434,-0.8573192,-0.5144681,0.01807523,-0.08074343,-0.02739429,-0.05397946,0
1729717210273,1.551916,1.606751,-0.2372038,-0.9970058,0.04200773,-0.06492436,0,0,0,1.352967,1.174326,-0.2609161,-0.9640833,-0.2630475,0.03673708,0,0,0,1.34213,1.138674,-0.1583434,-0.8573192,-0.5144681,0.01807523,0,0,0,0
1729717210295,1.549944,1.606704,-0.2380373,-0.996858,0.04334331,-0.06630266,-0.1478791,-0.003558397,-0.06251782,1.351247,1.174562,-0.262116,-0.9610905,-0.2725484,0.04497588,-0.1290321,0.01771152,-0.08998811,1.340225,1.138184,-0.1592207,-0.8569848,-0.5150706,0.01673865,-0.1428366,-0.03674626,-0.06579906,0
