TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-23 17:00:08.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D2D3
2024-10-23 17:00:08.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-23 17:00:09.034,0.9226141714511755,1.315846803731575,1.239812876627028,1.378547167990674,0.514828641683807,0.762944156677385,0.5880734106558038,1.185340679174113,0.4794374914626653,0.2696907949176096,0.2647444237062755,1.084890185540013,0.697339678290827,-0.03928051940525725,0.003812414459295991,0.5478865095421279,0.6892467152050407,-0.2061543029840078,-0.4014170402448835,0.1269966729292761,728.4981684981685,811.0989010989011,801.8315018315019,734.9450549450549,801.8315018315019,-0.438660,0.057007,0.919067,2.385101,-0.411224,0.530853,1,1,1,1,1,65.000000
2024-10-23 17:00:10.035,0.9226141714511755,1.05351581872724,0.4968899350351348,1.378547167990674,0.514828641683807,0.509241314085391,-0.2073096855306456,1.185340679174113,0.4794374914626653,0.6225132562957534,0.3321409357319426,1.084890185540013,0.697339678290827,0.01227730753796442,-0.03432950772711788,0.5478865095421279,0.6892467152050407,-0.376594159304286,-0.4765979416921513,0.1269966729292761,823.5897435897436,806.6666666666667,811.5018315018315,834.0659340659341,718.8278388278388,-0.449158,0.056702,0.920837,1.891632,-2.123413,-0.478516,1,2,1,1,2,65.000000
2024-10-23 17:00:11.035,0.9226141714511755,1.096848599252062,0.08662815555299434,1.378547167990674,0.514828641683807,0.4904186600163277,-0.2631642731904704,1.185340679174113,0.4794374914626653,0.5291289338555636,0.2535538218027633,1.084890185540013,0.697339678290827,-0.01332536345307878,-0.09503941662052022,0.5478865095421279,0.6892467152050407,-0.5476603511476547,-0.365175401894921,0.1269966729292761,795.3846153846154,811.0989010989011,804.6520146520147,767.5824175824176,778.0586080586081,-0.451294,0.034180,0.892822,-0.493469,-10.632019,7.192688,1,2,1,1,2,65.000000
2024-10-23 17:00:11.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-23 17:00:12.035,0.9226141714511755,0.6609253231213105,0.6163470163853179,1.378547167990674,0.514828641683807,0.05979948560314625,0.1301086610185243,1.185340679174113,0.4794374914626653,0.2799954411020906,0.3158551387748627,1.084890185540013,0.697339678290827,-0.03651613035549296,-0.0415241961734279,0.5478865095421279,0.6892467152050407,-0.4120115248803901,-0.2902832843108562,0.1269966729292761,854.2124542124542,790.952380952381,831.6483516483516,878.7912087912089,788.9377289377289,-0.387451,0.103882,0.773804,2.295380,2.175751,-1.854248,1,2,1,1,2,65.000000
2024-10-23 17:00:12.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-23 17:00:13.035,0.9226141714511755,0.8224924507195318,0.8813675838353584,1.378547167990674,0.514828641683807,0.2337013458940211,0.4468290882264915,1.185340679174113,0.4794374914626653,0.3489443477414808,0.403574169596831,1.084890185540013,0.697339678290827,0.05408196578157185,-0.05753142218321845,0.5478865095421279,0.6892467152050407,-0.2363637840795954,-0.4012777557638298,0.1269966729292761,871.1355311355312,811.5018315018315,805.8608058608058,815.1282051282052,705.934065934066,-0.382568,0.015808,0.819336,8.239441,-0.022430,-10.116119,1,2,1,1,2,65.000000
2024-10-23 17:00:13.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-23 17:00:13.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
