unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1732561610995,2.32013,1.507413,0.04011132,-0.9929578,0.1146039,0.03001654,-0.004631281,0.002959371,-0.006513298,2.297235,0.7942161,0.004135013,-0.3588831,-0.8372688,-0.4125346,-0.0007152557,-0.0004202127,0.001115352,2.233009,0.7539188,0.2839068,-0.2285419,-0.9272363,0.2966507,0.0008940697,0.00269115,0.0005878508,0
1732561611008,2.32013,1.507413,0.04011132,-0.9929578,0.1146039,0.03001654,0,0,0,2.297235,0.7942161,0.004135013,-0.3588831,-0.8372688,-0.4125346,0,0,0,2.233009,0.7539188,0.2839068,-0.2285419,-0.9272363,0.2966507,0,0,0,0
1732561611035,2.319458,1.507641,0.03920826,-0.9928001,0.1157911,0.03067458,-0.05037189,0.01713037,-0.06772913,2.297202,0.7942142,0.004210725,-0.3600955,-0.8366838,-0.4126645,-0.002467632,-0.0001430511,0.00567846,2.233028,0.7539483,0.2839437,-0.2280488,-0.9272153,0.2970956,0.00141263,0.002212822,0.00276491,0
1732561611042,2.319458,1.507641,0.03920826,-0.9928001,0.1157911,0.03067458,0,0,0,2.297202,0.7942142,0.004210725,-0.3600955,-0.8366838,-0.4126645,0,0,0,2.233028,0.7539483,0.2839437,-0.2280488,-0.9272153,0.2970956,0,0,0,0
1732561611075,2.318703,1.507705,0.03789309,-0.9926065,0.1173807,0.03089559,-0.05668402,0.004810095,-0.09863824,2.297198,0.7942707,0.00429678,-0.3639366,-0.8338929,-0.414938,-0.0003397465,0.00423789,0.006454065,2.233013,0.7539238,0.283915,-0.2278298,-0.927626,0.2959794,-0.001144409,-0.001841784,-0.002150238,0
1732561611082,2.318703,1.507705,0.03789309,-0.9926065,0.1173807,0.03089559,0,0,0,2.297198,0.7942707,0.00429678,-0.3639366,-0.8338929,-0.414938,0,0,0,2.233013,0.7539238,0.283915,-0.2278298,-0.927626,0.2959794,0,0,0,0
1732561611089,2.318703,1.507705,0.03789309,-0.9926065,0.1173807,0.03089559,0,0,0,2.297198,0.7942707,0.00429678,-0.3639366,-0.8338929,-0.414938,0,0,0,2.233013,0.7539238,0.283915,-0.2278298,-0.927626,0.2959794,0,0,0,0
1732561611104,2.318049,1.507747,0.036688,-0.9926088,0.1173591,0.03089738,-0.04899502,0.003129244,-0.0903815,2.297287,0.794449,0.004324719,-0.3711931,-0.8287565,-0.4187828,0.006705523,0.01337081,0.002095476,2.233021,0.753991,0.2838786,-0.2312894,-0.926625,0.2964317,0.0006258488,0.005042553,-0.002729148,0
1732561611111,2.318049,1.507747,0.036688,-0.9926088,0.1173591,0.03089738,0,0,0,2.297287,0.794449,0.004324719,-0.3711931,-0.8287565,-0.4187828,0,0,0,2.233021,0.753991,0.2838786,-0.2312894,-0.926625,0.2964317,0,0,0,0
1732561611117,2.318049,1.507747,0.036688,-0.9926088,0.1173591,0.03089738,0,0,0,2.297287,0.794449,0.004324719,-0.3711931,-0.8287565,-0.4187828,0,0,0,2.233021,0.753991,0.2838786,-0.2312894,-0.926625,0.2964317,0,0,0,0
1732561611144,2.317581,1.50778,0.03586474,-0.9926035,0.1174309,0.03080308,-0.03511906,0.002449751,-0.06174445,2.297338,0.7945677,0.004366383,-0.3747549,-0.82679,-0.4194968,0.003808737,0.008904934,0.003124774,2.233037,0.7540051,0.2839175,-0.231022,-0.9269826,0.2955204,0.001162291,0.001059473,0.002919137,0
1732561611151,2.317581,1.50778,0.03586474,-0.9926035,0.1174309,0.03080308,0,0,0,2.297338,0.7945677,0.004366383,-0.3747549,-0.82679,-0.4194968,0,0,0,2.233037,0.7540051,0.2839175,-0.231022,-0.9269826,0.2955204,0,0,0,0
1732561611157,2.317581,1.50778,0.03586474,-0.9926035,0.1174309,0.03080308,0,0,0,2.297338,0.7945677,0.004366383,-0.3747549,-0.82679,-0.4194968,0,0,0,2.233037,0.7540051,0.2839175,-0.231022,-0.9269826,0.2955204,0,0,0,0
1732561611171,2.316952,1.507692,0.03488733,-0.992611,0.1174148,0.03061509,-0.04715323,-0.006589293,-0.07330589,2.297384,0.7946963,0.004436061,-0.3798654,-0.8239099,-0.4205655,0.00346899,0.009642541,0.005225837,2.233029,0.7539895,0.2839081,-0.2315066,-0.9274788,0.2935777,-0.0005543232,-0.001175702,-0.0007085502,0
1732561611178,2.316952,1.507692,0.03488733,-0.992611,0.1174148,0.03061509,0,0,0,2.297384,0.7946963,0.004436061,-0.3798654,-0.8239099,-0.4205655,0,0,0,2.233029,0.7539895,0.2839081,-0.2315066,-0.9274788,0.2935777,0,0,0,0
1732561611184,2.316952,1.507692,0.03488733,-0.992611,0.1174148,0.03061509,0,0,0,2.297384,0.7946963,0.004436061,-0.3798654,-0.8239099,-0.4205655,0,0,0,2.233029,0.7539895,0.2839081,-0.2315066,-0.9274788,0.2935777,0,0,0,0
1732561611199,2.316588,1.507577,0.03429909,-0.9926522,0.1170559,0.03066188,-0.02732277,-0.008636713,-0.04411787,2.29742,0.794777,0.004462987,-0.3813538,-0.8226482,-0.4216868,0.002717972,0.006057322,0.00201948,2.233038,0.7540311,0.2839002,-0.2342863,-0.9267979,0.2935231,0.0006973743,0.003120303,-0.0005945563,0
1732561611206,2.316588,1.507577,0.03429909,-0.9926522,0.1170559,0.03066188,0,0,0,2.29742,0.794777,0.004462987,-0.3813538,-0.8226482,-0.4216868,0,0,0,2.233038,0.7540311,0.2839002,-0.2342863,-0.9267979,0.2935231,0,0,0,0
