unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1732209992524,2.490399,1.677798,-0.0003594887,-0.9905725,0.1369867,-0.0009373426,-7.152557E-05,-6.258488E-05,-0.006349781,2.161386,1.230378,-0.2899438,-0.8843112,-0.1500004,-0.4421474,0.0002145767,-0.008538365,-0.008299202,2.235283,1.167632,0.1976402,-0.9143871,-0.3998027,-0.06367421,0.001698732,-0.01039803,-0.01397654,0
1732209992529,2.490399,1.677798,-0.0003594887,-0.9905725,0.1369867,-0.0009373426,0,0,0,2.161386,1.230378,-0.2899438,-0.8843112,-0.1500004,-0.4421474,0,0,0,2.235283,1.167632,0.1976402,-0.9143871,-0.3998027,-0.06367421,0,0,0,0
1732209992551,2.490359,1.677767,-0.0004738504,-0.9908049,0.135277,-0.002524137,-0.00295043,-0.002324581,-0.008577132,2.16134,1.230067,-0.2900428,-0.8842421,-0.1514787,-0.4417815,-0.003504753,-0.0233084,-0.007431954,2.235315,1.167205,0.1971732,-0.9132769,-0.401987,-0.06581748,0.002413988,-0.03203452,-0.03502518,0
1732209992556,2.490359,1.677767,-0.0004738504,-0.9908049,0.135277,-0.002524137,0,0,0,2.16134,1.230067,-0.2900428,-0.8842421,-0.1514787,-0.4417815,0,0,0,2.235315,1.167205,0.1971732,-0.9132769,-0.401987,-0.06581748,0,0,0,0
1732209992579,2.490273,1.677697,-0.0005725278,-0.9909861,0.133919,-0.003551364,-0.006455183,-0.005221367,-0.007400801,2.161224,1.229673,-0.2900863,-0.8842515,-0.1528977,-0.4412733,-0.008672476,-0.02952218,-0.003261119,2.235307,1.166658,0.1965511,-0.912026,-0.4043646,-0.06854403,-0.000590086,-0.04102886,-0.04665256,0
1732209992586,2.490273,1.677697,-0.0005725278,-0.9909861,0.133919,-0.003551364,0,0,0,2.161224,1.229673,-0.2900863,-0.8842515,-0.1528977,-0.4412733,0,0,0,2.235307,1.166658,0.1965511,-0.912026,-0.4043646,-0.06854403,0,0,0,0
1732209992607,2.490175,1.677616,-0.0006877417,-0.9910282,0.133594,-0.004051566,-0.007367134,-0.006079674,-0.008641044,2.161126,1.229271,-0.2902097,-0.8840174,-0.1541763,-0.4412977,-0.007385015,-0.03019273,-0.009255856,2.235301,1.166062,0.1956204,-0.9111684,-0.4057453,-0.07171535,-0.0004649162,-0.04473925,-0.06980225,0
1732209992613,2.490175,1.677616,-0.0006877417,-0.9910282,0.133594,-0.004051566,0,0,0,2.161126,1.229271,-0.2902097,-0.8840174,-0.1541763,-0.4412977,0,0,0,2.235301,1.166062,0.1956204,-0.9111684,-0.4057453,-0.07171535,0,0,0,0
1732209992635,2.490107,1.67756,-0.0007452173,-0.9911398,0.1327844,-0.003239512,-0.005096197,-0.004157424,-0.004310673,2.161053,1.228841,-0.2902962,-0.8838269,-0.1558178,-0.4411024,-0.005471706,-0.03223121,-0.00648424,2.235276,1.165741,0.1949663,-0.9108736,-0.4062439,-0.07263541,-0.001859665,-0.02405941,-0.04905984,0
1732209992640,2.490107,1.67756,-0.0007452173,-0.9911398,0.1327844,-0.003239512,0,0,0,2.161053,1.228841,-0.2902962,-0.8838269,-0.1558178,-0.4411024,0,0,0,2.235276,1.165741,0.1949663,-0.9108736,-0.4062439,-0.07263541,0,0,0,0
