TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-10-09 17:42:38.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-0782
2024-10-09 17:42:38.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:39.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:39.749,1.107195917309175,0.1471712744628098,-0.02396179915803894,1.741250639969141,0.9806874426646421,-0.0453293689418553,-0.1723410325857977,1.683468163158486,0.8383870798920922,-0.2654474392724983,0.1577038616150113,1.24602717266352,0.6839833296110431,0.2724528959933679,0.2674011977039333,0.6188864588606944,0.2500905914525777,-0.02980764826254222,-0.0908937309167821,0.1896052837985056,835.6776556776557,790.5494505494506,769.1941391941392,599.9633699633699,714.7985347985348,-0.320618,0.023132,0.941223,0.635529,-6.818848,1.360779,1,2,1,1,4,50.000000
2024-10-09 17:42:39.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:40.749,1.107195917309175,0.1471712744628098,-0.02396179915803894,1.741250639969141,0.9806874426646421,-0.0453293689418553,-0.1723410325857977,1.683468163158486,0.8383870798920922,-0.2654474392724983,0.1577038616150113,1.24602717266352,0.6839833296110431,0.2724528959933679,0.2674011977039333,0.6188864588606944,0.2500905914525777,-0.02980764826254222,-0.0908937309167821,0.1896052837985056,938.021978021978,824.3956043956044,811.0989010989011,1001.684981684982,1233.369963369963,-0.296326,0.040771,0.944458,-0.418701,-3.446808,-8.508606,1,2,1,1,4,50.000000
2024-10-09 17:42:40.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:41.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:41.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:41.760,1.107195917309175,0.1471712744628098,-0.02396179915803894,1.741250639969141,0.9806874426646421,-0.0453293689418553,-0.1723410325857977,1.683468163158486,0.8383870798920922,-0.2654474392724983,0.1577038616150113,1.24602717266352,0.6839833296110431,0.2724528959933679,0.2674011977039333,0.6188864588606944,0.2500905914525777,-0.02980764826254222,-0.0908937309167821,0.1896052837985056,777.6556776556777,811.0989010989011,818.7545787545788,611.6483516483516,410.5860805860806,-0.316101,0.043640,0.949585,-3.394470,-1.839294,1.682281,1,2,1,1,4,50.000000
2024-10-09 17:42:41.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:42.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:42.490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:42.748,1.107195917309175,0.1471712744628098,-0.02396179915803894,1.741250639969141,0.9806874426646421,-0.0453293689418553,-0.1723410325857977,1.683468163158486,0.8383870798920922,-0.2654474392724983,0.1577038616150113,1.24602717266352,0.6839833296110431,0.2724528959933679,0.2674011977039333,0.6188864588606944,0.2500905914525777,-0.02980764826254222,-0.0908937309167821,0.1896052837985056,362.2344322344322,803.4432234432235,798.2051282051282,1620.586080586081,900.5494505494506,-0.309570,0.053345,0.945435,-3.200073,0.687866,-2.086029,1,2,1,1,4,50.000000
2024-10-09 17:42:43.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:43.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:43.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:43.757,1.107195917309175,0.1471712744628098,-0.02396179915803894,1.741250639969141,0.9806874426646421,-0.0453293689418553,-0.1723410325857977,1.683468163158486,0.8383870798920922,-0.2654474392724983,0.1577038616150113,1.24602717266352,0.6839833296110431,0.2724528959933679,0.2674011977039333,0.6188864588606944,0.2500905914525777,-0.02980764826254222,-0.0908937309167821,0.1896052837985056,347.3260073260074,811.5018315018315,796.1904761904763,518.974358974359,197.4358974358974,-0.285278,0.073425,0.966431,0.807495,-5.630035,5.241241,1,4,1,1,4,50.000000
2024-10-09 17:42:43.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:44.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-10-09 17:42:44.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
