TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-12-17 14:14:43.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D2D3
2024-12-17 14:14:43.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-17 14:14:43.880,0.8088876008871521,0.2054665284627503,0.5870989660910896,0.8311225042550621,1.007971656260737,-0.2158915796050671,0.254369263174097,0.2186294848893385,0.8822326148873717,0.5869109925064828,0.1626245804496931,0.3410622288070124,0.9671583632450966,1.035399942976985,0.2549813146101004,1.013443497703004,0.7314206802856926,0.7320594147695276,0.2661451289269677,1.058663194474554,796.996336996337,801.4285714285714,787.7289377289378,776.8498168498169,643.0769230769231,-0.232727,0.079773,0.980164,4.284210,-0.755157,1.263580,1,2,1,1,2,45.000000
2024-12-17 14:14:44.380,0.8088876008871521,0.1914760167384703,0.5844223388819024,0.8311225042550621,1.007971656260737,-0.1406751054523888,0.2660654691817121,0.2186294848893385,0.8822326148873717,0.5653582291976297,0.1206878210473516,0.3410622288070124,0.9671583632450966,0.9369125224861082,0.2818551441678059,1.013443497703004,0.7314206802856926,0.6683206023877871,0.2061913625775342,1.058663194474554,743.0036630036631,792.1611721611722,814.7252747252747,795.7875457875458,842.1245421245421,-0.281616,0.090576,0.969849,4.201965,25.877228,0.373840,1,2,1,1,2,45.000000
2024-12-17 14:14:44.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-17 14:14:44.880,0.8088876008871521,0.1543788902388494,0.3904172939098333,0.8311225042550621,1.007971656260737,-0.04153788451218274,-0.08057370662244741,0.2186294848893385,0.8822326148873717,0.5021846009902415,0.1075489442539981,0.3410622288070124,0.9671583632450966,0.883311313821631,0.3434683856990742,1.013443497703004,0.7314206802856926,0.6934721925808386,0.2158542979726412,1.058663194474554,843.7362637362637,800.2197802197802,790.5494505494506,809.0842490842491,715.2014652014652,-0.381531,0.102173,0.922302,4.044952,-9.704895,-0.770111,1,2,1,1,2,45.000000
2024-12-17 14:14:45.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-17 14:14:45.380,0.8088876008871521,0.3167658323544678,0.1872685524581752,0.8311225042550621,1.007971656260737,0.24571331402504,-0.1580183730810741,0.2186294848893385,0.8822326148873717,0.1162688668655859,0.06767058540854869,0.3410622288070124,0.9671583632450966,0.8966911126983536,0.3812409401558874,1.013443497703004,0.7314206802856926,0.7912855955823941,0.1068740650636031,1.058663194474554,920.6959706959707,806.6666666666667,784.1025641025641,866.7032967032967,799.8168498168499,-0.351440,0.068542,0.952026,1.465454,-7.701111,-0.613098,1,2,1,1,2,50.000000
2024-12-17 14:14:45.886,0.8088876008871521,0.2875176937137977,0.3525132630013914,0.8311225042550621,1.007971656260737,0.3868108609205656,-0.1835856902452447,0.2186294848893385,0.8822326148873717,0.3693383510487944,-0.03576517539569481,0.3410622288070124,0.9671583632450966,0.9670070590617185,0.3414662898805769,1.013443497703004,0.7314206802856926,0.8901336305910535,-0.03701787561044975,1.058663194474554,756.7032967032967,807.8754578754579,805.0549450549451,824.7985347985348,665.6410256410256,-0.322266,0.071228,0.958130,3.319702,-0.396271,0.904694,1,2,1,1,2,50.000000
2024-12-17 14:14:46.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-17 14:14:46.380,0.8088876008871521,0.2360457674672273,0.3525132630013914,0.8311225042550621,1.007971656260737,0.4035555734486795,-0.1835856902452447,0.2186294848893385,0.8822326148873717,0.5970747107086456,-0.03576517539569481,0.3410622288070124,0.9671583632450966,0.9712393264693839,0.3414662898805769,1.013443497703004,0.7314206802856926,0.8646097046947915,-0.03701787561044975,1.058663194474554,759.92673992674,797.3992673992674,811.9047619047619,788.9377289377289,628.974358974359,-0.302612,0.071899,0.963379,1.704712,-7.446899,0.134583,1,2,1,1,2,50.000000
2024-12-17 14:14:46.880,0.8088876008871521,0.08572815004261869,0.6214763461809503,0.8311225042550621,1.007971656260737,0.3332423031232505,0.441129096862813,0.2186294848893385,0.8822326148873717,0.6938824885720088,0.279882591502277,0.3410622288070124,0.9671583632450966,0.9881084784501464,0.4246905208142273,1.013443497703004,0.7314206802856926,0.8059272852614607,0.0428090051867451,1.058663194474554,886.8498168498169,803.040293040293,820.3663003663004,778.4615384615385,742.6007326007326,-0.304260,0.063171,0.959961,1.532745,-1.128998,-3.872986,1,2,1,1,2,50.000000
2024-12-17 14:14:47.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-17 14:14:47.391,0.8088876008871521,0.1541943907760359,0.7307877316259248,0.8311225042550621,1.007971656260737,0.1786725298425972,0.4783414465986792,0.2186294848893385,0.8822326148873717,0.6857381154855462,0.3097588725911522,0.3410622288070124,0.9671583632450966,0.9102133760308632,0.4540277783394068,1.013443497703004,0.7314206802856926,0.7288851692966108,0.1607789969508805,1.058663194474554,733.7362637362637,776.4468864468864,781.2820512820513,759.5238095238095,871.5384615384615,-0.319092,0.054504,1.010071,-0.224304,-5.787048,-0.269165,1,2,1,1,2,50.000000
