unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1736099606822,2.336417,1.668103,-0.2523486,-0.9905528,0.1371339,-0.0003094673,-0.005990267,-0.001949072,0.009325147,2.145319,1.022827,-0.3538892,-0.9234955,-0.3834188,-0.01209581,0.01285672,0.02674162,0.02063066,2.147235,1.031987,-0.186225,-0.954038,-0.2919024,-0.06785989,-0.02741218,0.0354141,0.04681796,0
1736099606826,2.336417,1.668103,-0.2523486,-0.9905528,0.1371339,-0.0003094673,0,0,0,2.145319,1.022827,-0.3538892,-0.9234955,-0.3834188,-0.01209581,0,0,0,2.147235,1.031987,-0.186225,-0.954038,-0.2919024,-0.06785989,0,0,0,0
1736099606850,2.335705,1.668266,-0.2503111,-0.9903765,0.1383999,-9.596348E-05,-0.0534296,0.01224875,0.1528144,2.14474,1.023298,-0.3514706,-0.924453,-0.3812275,-0.007241607,-0.0434339,0.03531575,0.1813911,2.14612,1.032577,-0.1840664,-0.9557302,-0.286912,-0.06528068,-0.08366704,0.04421175,0.161897,0
1736099606853,2.335705,1.668266,-0.2503111,-0.9903765,0.1383999,-9.596348E-05,0,0,0,2.14474,1.023298,-0.3514706,-0.924453,-0.3812275,-0.007241607,0,0,0,2.14612,1.032577,-0.1840664,-0.9557302,-0.286912,-0.06528068,0,0,0,0
1736099606877,2.334896,1.668318,-0.2478337,-0.9900184,0.140938,0.0007156134,-0.06065369,0.003916025,0.1858,2.143936,1.023045,-0.3493109,-0.9248166,-0.3803425,-0.007366776,-0.0603497,-0.01899004,0.1619786,2.145015,1.03236,-0.1817521,-0.9563335,-0.2851855,-0.06399894,-0.08288026,-0.01622736,0.1735713,0
1736099606881,2.334896,1.668318,-0.2478337,-0.9900184,0.140938,0.0007156134,0,0,0,2.143936,1.023045,-0.3493109,-0.9248166,-0.3803425,-0.007366776,0,0,0,2.145015,1.03236,-0.1817521,-0.9563335,-0.2851855,-0.06399894,0,0,0,0
1736099606905,2.333793,1.668249,-0.2451647,-0.9897513,0.1427781,0.002708435,-0.08273721,-0.005185604,0.2001777,2.142721,1.022136,-0.347025,-0.9238234,-0.3827114,-0.009092212,-0.09108782,-0.06813705,0.1714446,2.144259,1.031841,-0.1793469,-0.9562876,-0.2854268,-0.06360722,-0.05668402,-0.0389725,0.1803853,0
1736099606909,2.333793,1.668249,-0.2451647,-0.9897513,0.1427781,0.002708435,0,0,0,2.142721,1.022136,-0.347025,-0.9238234,-0.3827114,-0.009092212,0,0,0,2.144259,1.031841,-0.1793469,-0.9562876,-0.2854268,-0.06360722,0,0,0,0
1736099606933,2.332387,1.668149,-0.2421529,-0.989279,0.1459247,0.0058043,-0.1054287,-0.007528067,0.2258889,2.141447,1.021316,-0.3443508,-0.922891,-0.38487,-0.01216304,-0.09555817,-0.06152987,0.2005666,2.143738,1.031172,-0.176599,-0.9559655,-0.2859515,-0.06604648,-0.03905296,-0.05019307,0.2060931,0
1736099606937,2.332387,1.668149,-0.2421529,-0.989279,0.1459247,0.0058043,0,0,0,2.141447,1.021316,-0.3443508,-0.922891,-0.38487,-0.01216304,0,0,0,2.143738,1.031172,-0.176599,-0.9559655,-0.2859515,-0.06604648,0,0,0,0
