TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-12-21 15:57:55.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-9CF6
2024-12-21 15:57:55.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-21 15:57:55.899,0.4777458065859864,0.3657449368689004,0.550455749057732,0.1025718237488494,0.5273514624840191,0.04558285496605883,0.219958328760962,-0.1593509951151874,0.6014899670533995,0.5662930454051635,0.1327318455169837,0.07638407917251398,0.679502790128037,0.2481501716574048,-0.1874933437648625,0.2829919783594883,0.5050288870469321,0.09898207824353868,-0.3216464714847373,-0.2364113523864248,785.7142857142858,805.8608058608058,805.8608058608058,801.8315018315019,837.6923076923077,680.5494505494506,-0.350769,0.038330,0.940002,0.560760,-1.278534,-1.054230,1,2,1,1,2,92.000000
2024-12-21 15:57:56.400,0.4777458065859864,0.2129451641817518,0.3836834400282271,0.1025718237488494,0.5273514624840191,0.04024144933665565,0.02879500811160728,-0.1593509951151874,0.6014899670533995,0.2512841238382845,0.01799160901692659,0.07638407917251398,0.679502790128037,0.1744469479225493,-0.2058488622738016,0.2829919783594883,0.5050288870469321,-0.009047306422128226,-0.3703437365669739,-0.2364113523864248,805.8608058608058,806.2637362637363,799.8168498168499,798.6080586080586,850.5860805860806,651.1355311355312,-0.351013,0.027649,0.935486,0.702820,-2.115936,-1.420593,1,2,1,1,2,92.000000
2024-12-21 15:57:56.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-21 15:57:56.900,0.4777458065859864,0.4622465585565817,0.7299754375788187,0.1025718237488494,0.5273514624840191,0.4084290705080821,0.3555039532611979,-0.1593509951151874,0.6014899670533995,0.3718601303886254,0.09341141010073134,0.07638407917251398,0.679502790128037,0.2224127249951178,0.004560442581732589,0.2829919783594883,0.5050288870469321,0.02901190534395795,-0.3711998108249435,-0.2364113523864248,822.3809523809524,799.8168498168499,798.6080586080586,809.8901098901099,847.7655677655678,711.5750915750916,-0.341187,0.041443,0.935730,0.635529,-2.198181,1.136475,1,2,1,1,2,92.000000
2024-12-21 15:57:57.406,0.4777458065859864,0.8729689462921386,1.078378681783334,0.1025718237488494,0.5273514624840191,0.7350697307427336,0.4183160530939622,-0.1593509951151874,0.6014899670533995,0.5149792091598342,0.1591183553662245,0.07638407917251398,0.679502790128037,0.2795189921950261,0.0404532941184734,0.2829919783594883,0.5050288870469321,0.1572657375060262,-0.3940573349331274,-0.2364113523864248,785.7142857142858,800.6227106227107,802.6373626373627,798.2051282051282,753.8827838827839,647.9120879120879,-0.344727,0.038391,0.935730,-0.014954,-1.173859,-0.598145,1,2,1,1,2,92.000000
2024-12-21 15:57:57.908,0.4777458065859864,0.8869897995788647,0.9282509390213561,0.1025718237488494,0.5273514624840191,0.7302757473538561,0.344991784254387,-0.1593509951151874,0.6014899670533995,0.4957810033996513,0.1666237067766374,0.07638407917251398,0.679502790128037,0.4313486864295868,0.06092881935866304,0.2829919783594883,0.5050288870469321,0.3196425264049824,-0.3502374204038665,-0.2364113523864248,848.1684981684982,790.952380952381,782.0879120879121,842.1245421245421,852.1978021978023,935.2014652014652,-0.305359,0.043823,0.954285,0.067291,-5.024414,-0.224304,1,2,1,1,2,92.000000
2024-12-21 15:57:57.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-21 15:57:58.400,0.4777458065859864,0.8410016449432181,0.9884799293443577,0.1025718237488494,0.5273514624840191,0.6348937599954806,0.3260767619848612,-0.1593509951151874,0.6014899670533995,0.6034776060079177,0.1110705195441159,0.07638407917251398,0.679502790128037,0.4941814840463574,0.06774656161659068,0.2829919783594883,0.5050288870469321,0.3865622085859691,-0.3427115142048497,-0.2364113523864248,801.8315018315019,798.6080586080586,801.025641025641,820.7692307692308,693.8461538461538,585.8608058608058,-0.321960,0.026123,0.943054,-2.257996,0.874786,1.457977,1,2,1,1,2,92.000000
2024-12-21 15:57:58.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-21 15:57:58.901,0.4777458065859864,0.3990320287525463,0.3376504860841971,0.1025718237488494,0.5273514624840191,0.2647015436525068,0.1703754569482988,-0.1593509951151874,0.6014899670533995,0.4464513958553043,-0.2415456269028975,0.07638407917251398,0.679502790128037,0.4191415556625609,0.09551496640575201,0.2829919783594883,0.5050288870469321,0.3194234010722358,-0.281029634334687,-0.2364113523864248,839.3040293040293,795.3846153846154,785.7142857142858,873.5531135531136,774.4322344322345,612.8571428571429,-0.339844,0.033875,0.932373,1.405640,-1.166382,-0.276642,1,2,1,1,2,92.000000
2024-12-21 15:57:59.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-12-21 15:57:59.405,0.4777458065859864,0.5717064116587031,0.3067162516422853,0.1025718237488494,0.5273514624840191,0.4105152351773877,0.1914709813829445,-0.1593509951151874,0.6014899670533995,0.4289473408913809,-0.2537381701782918,0.07638407917251398,0.679502790128037,0.3306714574273217,0.04828814712509724,0.2829919783594883,0.5050288870469321,0.2346178007258791,-0.3032548219667173,-0.2364113523864248,703.919413919414,740.989010989011,828.021978021978,843.7362637362637,798.6080586080586,582.6373626373627,-0.339294,0.054199,0.922852,0.448608,-1.644897,-0.022430,1,2,1,1,2,92.000000
2024-12-21 15:57:59.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-21 15:57:59.899,0.4777458065859864,0.5752614930293496,0.3067162516422853,0.1025718237488494,0.5273514624840191,0.4476546469415219,0.1914709813829445,-0.1593509951151874,0.6014899670533995,0.4051236059082975,-0.2537381701782918,0.07638407917251398,0.679502790128037,0.2498327394734554,0.04828814712509724,0.2829919783594883,0.5050288870469321,0.1845110691450828,-0.3032548219667173,-0.2364113523864248,827.2161172161173,787.7289377289378,792.5641025641025,820.7692307692308,918.2783882783883,803.8461538461539,-0.324951,0.027954,0.949524,0.403748,-0.814972,-0.882263,1,2,1,1,2,92.000000
2024-12-21 15:58:00.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-12-21 15:58:00.400,0.4777458065859864,0.7186570563227817,0.3067162516422853,0.1025718237488494,0.5273514624840191,0.5111053181478907,0.1914709813829445,-0.1593509951151874,0.6014899670533995,0.1111999949027006,-0.2537381701782918,0.07638407917251398,0.679502790128037,0.2961831353679642,0.04828814712509724,0.2829919783594883,0.5050288870469321,0.2374215959500515,-0.3032548219667173,-0.2364113523864248,785.7142857142858,799.8168498168499,790.952380952381,802.2344322344322,830.4395604395604,666.8498168498169,-0.313843,-0.007141,0.969055,-1.069183,-0.508423,-1.114044,1,2,1,1,2,92.000000
2024-12-21 15:58:00.900,0.4777458065859864,0.5393373841512116,0.3067162516422853,0.1025718237488494,0.5273514624840191,0.4915105719259485,0.1914709813829445,-0.1593509951151874,0.6014899670533995,0.6626550167700808,-0.2537381701782918,0.07638407917251398,0.679502790128037,0.3697338451880268,0.04828814712509724,0.2829919783594883,0.5050288870469321,0.3269959495804468,-0.3032548219667173,-0.2364113523864248,788.9377289377289,794.981684981685,799.4139194139194,805.4578754578755,770.4029304029305,848.974358974359,-0.393188,0.060364,0.937073,-0.986938,2.287903,-1.121521,1,2,1,1,2,92.000000
2024-12-21 15:58:01.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
