unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z,heightOffset
1736099284244,1.726759,1.580628,-0.7908629,-0.9960785,0.07780375,0.04212493,-0.001609325,0.0001609325,-0.002521276,1.532657,0.9308711,-0.897195,-0.9562207,-0.2559451,-0.1418971,-0.005865097,-0.005020201,-0.01676828,1.53972,0.8994235,-0.6786076,-0.9014173,-0.4158795,0.1203806,-0.002074242,-0.006964803,-0.0184983,0
1736099284249,1.726759,1.580628,-0.7908629,-0.9960785,0.07780375,0.04212493,0,0,0,1.532657,0.9308711,-0.897195,-0.9562207,-0.2559451,-0.1418971,0,0,0,1.53972,0.8994235,-0.6786076,-0.9014173,-0.4158795,0.1203806,0,0,0,0
1736099284272,1.726152,1.580395,-0.7918176,-0.9961545,0.07633024,0.04301643,-0.04548132,-0.01747012,-0.07160157,1.532424,0.9306375,-0.8977593,-0.9561288,-0.2564389,-0.1416229,-0.017488,-0.0175193,-0.04232079,1.539687,0.8993008,-0.6790903,-0.9012023,-0.4161321,0.121115,-0.002512336,-0.009204447,-0.03620088,0
1736099284277,1.726152,1.580395,-0.7918176,-0.9961545,0.07633024,0.04301643,0,0,0,1.532424,0.9306375,-0.8977593,-0.9561288,-0.2564389,-0.1416229,0,0,0,1.539687,0.8993008,-0.6790903,-0.9012023,-0.4161321,0.121115,0,0,0,0
1736099284298,1.725506,1.580225,-0.7928417,-0.9962286,0.07486393,0.04386699,-0.04849434,-0.01271367,-0.07680506,1.53215,0.9303561,-0.8983283,-0.956028,-0.2571368,-0.1410382,-0.0205189,-0.02110451,-0.04267395,1.539604,0.8991443,-0.6795831,-0.9009427,-0.4163676,0.1222332,-0.006213784,-0.01173466,-0.03696084,0
1736099284303,1.725506,1.580225,-0.7928417,-0.9962286,0.07486393,0.04386699,0,0,0,1.53215,0.9303561,-0.8983283,-0.956028,-0.2571368,-0.1410382,0,0,0,1.539604,0.8991443,-0.6795831,-0.9009427,-0.4163676,0.1222332,0,0,0,0
1736099284326,1.724818,1.580122,-0.7940539,-0.9962703,0.07404331,0.04430991,-0.05155206,-0.007742643,-0.09091794,1.531808,0.9301183,-0.8989382,-0.9559783,-0.2577889,-0.1401824,-0.02569556,-0.01784116,-0.0457406,1.539474,0.898944,-0.680114,-0.9005662,-0.4167821,0.1235862,-0.009727478,-0.01502484,-0.03982186,0
1736099284330,1.724818,1.580122,-0.7940539,-0.9962703,0.07404331,0.04430991,0,0,0,1.531808,0.9301183,-0.8989382,-0.9559783,-0.2577889,-0.1401824,0,0,0,1.539474,0.898944,-0.680114,-0.9005662,-0.4167821,0.1235862,0,0,0,0
1736099284354,1.724054,1.579989,-0.795297,-0.9962644,0.07381287,0.04482383,-0.05732775,-0.009995699,-0.09323359,1.531438,0.9297538,-0.8994217,-0.9559768,-0.2583365,-0.1391803,-0.0277251,-0.02733171,-0.03626347,1.53934,0.8988374,-0.680484,-0.9001989,-0.4171797,0.124914,-0.01008511,-0.007992983,-0.02774745,0
1736099284358,1.724054,1.579989,-0.795297,-0.9962644,0.07381287,0.04482383,0,0,0,1.531438,0.9297538,-0.8994217,-0.9559768,-0.2583365,-0.1391803,0,0,0,1.53934,0.8988374,-0.680484,-0.9001989,-0.4171797,0.124914,0,0,0,0
1736099284382,1.723198,1.580075,-0.796512,-0.9962438,0.07374241,0.04539382,-0.06420314,0.006455183,-0.09112358,1.530895,0.9294404,-0.9001582,-0.9558208,-0.2593437,-0.1383768,-0.04071593,-0.02350956,-0.05524009,1.539095,0.8985381,-0.6810768,-0.8996286,-0.4178763,0.1266806,-0.01834631,-0.02244562,-0.04446208,0
1736099284387,1.723198,1.580075,-0.796512,-0.9962438,0.07374241,0.04539382,0,0,0,1.530895,0.9294404,-0.9001582,-0.9558208,-0.2593437,-0.1383768,0,0,0,1.539095,0.8985381,-0.6810768,-0.8996286,-0.4178763,0.1266806,0,0,0,0
1736099284410,1.722203,1.580041,-0.7978054,-0.9961684,0.07388087,0.04680341,-0.07460117,-0.002557039,-0.09700656,1.530362,0.9292461,-0.9009197,-0.9556718,-0.2600914,-0.138001,-0.04001856,-0.01456887,-0.0571087,1.538961,0.8983532,-0.681796,-0.899157,-0.4184983,0.1279695,-0.01008511,-0.01387149,-0.05393922,0
1736099284415,1.722203,1.580041,-0.7978054,-0.9961684,0.07388087,0.04680341,0,0,0,1.530362,0.9292461,-0.9009197,-0.9556718,-0.2600914,-0.138001,0,0,0,1.538961,0.8983532,-0.681796,-0.899157,-0.4184983,0.1279695,0,0,0,0
1736099284438,1.721041,1.580097,-0.7990897,-0.9960926,0.07388821,0.04837996,-0.08714497,0.004184246,-0.09631813,1.529748,0.9289692,-0.9016025,-0.9556248,-0.2608967,-0.1368023,-0.04605353,-0.02076924,-0.05121231,1.53874,0.8981568,-0.6824428,-0.8987155,-0.4191617,0.1288968,-0.01657605,-0.0147298,-0.04851222,0
1736099284443,1.721041,1.580097,-0.7990897,-0.9960926,0.07388821,0.04837996,0,0,0,1.529748,0.9289692,-0.9016025,-0.9556248,-0.2608967,-0.1368023,0,0,0,1.53874,0.8981568,-0.6824428,-0.8987155,-0.4191617,0.1288968,0,0,0,0
